timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1569818288231,22587,HTTP Request,200,,CreateTaskThreadGroup 1-78,text,true,,479,366,500,500,http://localhost:8085/projectmanagement/tasks,22585,0,1
1569818288675,22539,HTTP Request,200,,CreateTaskThreadGroup 1-147,text,true,,479,366,500,500,http://localhost:8085/projectmanagement/tasks,22539,0,1
1569818288738,22576,HTTP Request,200,,CreateTaskThreadGroup 1-176,text,true,,479,366,500,500,http://localhost:8085/projectmanagement/tasks,22574,0,0
1569818288167,23416,HTTP Request,200,,CreateTaskThreadGroup 1-44,text,true,,479,366,500,500,http://localhost:8085/projectmanagement/tasks,23414,0,1
1569818288784,22929,HTTP Request,200,,CreateTaskThreadGroup 1-183,text,true,,479,366,500,500,http://localhost:8085/projectmanagement/tasks,22928,0,1
1569818288104,23901,HTTP Request,200,,CreateTaskThreadGroup 1-11,text,true,,479,366,500,500,http://localhost:8085/projectmanagement/tasks,23900,0,1
1569818288793,23458,HTTP Request,200,,CreateTaskThreadGroup 1-187,text,true,,479,366,500,500,http://localhost:8085/projectmanagement/tasks,23456,0,1
1569818288790,23788,HTTP Request,200,,CreateTaskThreadGroup 1-186,text,true,,479,366,500,500,http://localhost:8085/projectmanagement/tasks,23787,0,1
1569818288533,24374,HTTP Request,200,,CreateTaskThreadGroup 1-128,text,true,,479,366,500,500,http://localhost:8085/projectmanagement/tasks,24372,0,0
1569818288737,24413,HTTP Request,200,,CreateTaskThreadGroup 1-178,text,true,,479,366,500,500,http://localhost:8085/projectmanagement/tasks,24411,0,1
1569818288247,25146,HTTP Request,200,,CreateTaskThreadGroup 1-82,text,true,,479,366,500,500,http://localhost:8085/projectmanagement/tasks,25144,0,0
1569818288227,25416,HTTP Request,200,,CreateTaskThreadGroup 1-76,text,true,,479,366,500,500,http://localhost:8085/projectmanagement/tasks,25415,0,1
1569818288147,25732,HTTP Request,200,,CreateTaskThreadGroup 1-29,text,true,,479,366,500,500,http://localhost:8085/projectmanagement/tasks,25727,0,0
1569818288171,25898,HTTP Request,200,,CreateTaskThreadGroup 1-45,text,true,,479,366,500,500,http://localhost:8085/projectmanagement/tasks,25897,0,1
1569818288334,26015,HTTP Request,200,,CreateTaskThreadGroup 1-120,text,true,,479,366,500,500,http://localhost:8085/projectmanagement/tasks,26014,0,0
1569818288171,26276,HTTP Request,200,,CreateTaskThreadGroup 1-43,text,true,,479,366,500,500,http://localhost:8085/projectmanagement/tasks,26275,0,2
